Number of charging points,Max power KW,Date of usage,Bank Card payment,Other mode of payment,Parking 2 wheels,EF type plug,Type 2 Plug,CCS Combo type socket,Chademo plug,Plug type Other,Type 3 plug,Charging Point Status,Type of implantation,Postal Code,Georaphic Coordinate
"3,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.89905, 2.3649826"
"3,00","7,00",2022-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.88109, 2.336666"
"3,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.88836, 2.3480344"
"3,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.88836, 2.3480344"
"3,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.855225, 2.3984911"
"3,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.862465, 2.3393006"
"3,00","3,00",2021-09-14,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.8737, 2.314663"
"3,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.872448, 2.3041663"
"3,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.871643, 2.3338861"
"3,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.85617, 2.308076"
"3,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.87057, 2.301121"
"4,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75103,"48.87179, 2.372482"
"5,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75104,"48.84652, 2.3692153"
"5,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75104,"48.834526, 2.353056"
"5,00","7,00",2021-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.842175, 2.323305"
"5,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.83951, 2.3301675"
"5,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75107,"48.83105, 2.3460584"
"5,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75108,"48.83105, 2.3460584"
"5,00","7,00",2021-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.8304, 2.295999"
"7,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.86502, 2.360503"
"6,00","7,00",2022-02-10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.8512, 2.2913"
"5,00","7,00",2021-08-11,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.8407, 2.2876"
"5,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.8373, 2.2787"
"5,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.8603, 2.274"
"6,00","7,00",2022-08-10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.8847, 2.3213"
"5,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.8949, 2.3355"
