Number of charging points,Max power KW,Date of usage,Bank Card payment,Other mode of payment,Parking 2 wheels,EF type plug,Type 2 Plug,CCS Combo type socket,Chademo plug,Plug type Other,Type 3 plug,Charging Point Status,Type of implantation,Postal Code,Georaphic Coordinate
"3,00","7,00",2021-06-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.82844, 2.336613"
"3,00","7,00",2021-06-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.856915, 2.3941433"
"6,00","7,00",2022-11-10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.845806, 2.3038075"
"6,00","7,00",2021-06-30,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.838314, 2.3408663"
"4,00","7,00",2021-07-22,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75103,"48.835426, 2.2851648"
"5,00","7,00",2021-07-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.842567, 2.2848904"
"4,00","7,00",2022-01-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75103,"48.838547, 2.312675"
"3,00","7,00",2021-07-22,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.843792, 2.2698932"
"5,00","7,00",2021-07-22,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75105,"48.847862, 2.2745266"
"7,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.86486, 2.3329713"
"4,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.870564, 2.3408933"
"4,00","7,00",2021-08-27,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.869926, 2.3320835"
"5,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.85082, 2.3237967"
"7,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87835, 2.3044934"
"7,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.847107, 2.332121"
"7,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87057, 2.301121"
"7,00","7,00",2021-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84837, 2.367915"
"7,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.87119, 2.364206"
"7,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75105,"48.87179, 2.372482"
"6,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.87359, 2.3466527"
"2,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.86661, 2.36784"
"4,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.86661, 2.36784"
"5,00","7,00",2021-08-25,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.84071, 2.409631"
"5,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.82958, 2.3537664"
"5,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.834854, 2.3297832"
"7,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.82056, 2.3643334"
"6,00","7,00",2021-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.842175, 2.323305"
"6,00","3,00",2021-08-11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.8287, 2.2989"
"7,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8792, 2.3839"
"6,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.8472, 2.2953"
"4,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8534, 2.2685"
"4,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8379, 2.2628"
"7,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8955, 2.3283"
"6,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.8914, 2.304"
"5,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.8646, 2.2754"
"6,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75101,"48.8867, 2.2955"
"4,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75102,"48.8954, 2.35"
"5,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75102,"48.8818, 2.3938"
"5,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.8519, 2.3982"
"7,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.8495, 2.4062"
"6,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.849903, 2.3444285"
"6,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.86113, 2.3069868"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.87565, 2.372715"
"6,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.835518, 2.3850355"
"5,00","7,00",2022-06-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.826233, 2.34245"
"6,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75109,"48.83656, 2.3592348"
"6,00","7,00",2021-11-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.83389, 2.3081343"
"6,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.837017, 2.2986736"
"7,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.865818, 2.2762194"
"6,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.847847, 2.272306"
"6,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.893276, 2.3395"
"4,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.885006, 2.3475914"
"6,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.8766, 2.3790176"
"7,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.86959, 2.400348"
"7,00","7,00",2021-11-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.84545, 2.292136"
"6,00","7,00",2021-11-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.84545, 2.292136"
"6,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75116,"48.869892, 2.2976446"
"6,00","7,00",2021-12-08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.873646, 2.3911798"
"5,00","50,00",2022-10-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75117,"48.846973, 2.2558389"
"6,00","50,00",2022-10-19,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.846973, 2.2558389"
"6,00","50,00",2022-10-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75116,"48.846973, 2.2558389"
"6,00","7,00",2022-11-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.864, 2.2806"
"6,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.863, 2.2858"
"6,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.8692, 2.3809"
"6,00","7,00",2021-09-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.8646, 2.2754"
"6,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.8478, 2.2636"
"5,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75105,"48.8954, 2.35"
"4,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.8949, 2.3355"
"5,00","7,00",2021-09-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.8818, 2.3938"
"4,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.8777, 2.3916"
"6,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.8495, 2.4062"
"4,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.8657, 2.4087"
"4,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8492, 2.4133"
"4,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8492, 2.4133"
"6,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.853573, 2.363958"
"6,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.843006, 2.3280363"
"5,00","7,00",2021-10-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.85806, 2.310588"
"6,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.8706, 2.3226488"
"4,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.87236, 2.326167"
"5,00","7,00",2022-08-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.875465, 2.342083"
"5,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.84154, 2.389211"
"5,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.83519, 2.4002905"
"5,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.83519, 2.4002905"
"3,00","7,00",2021-12-08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.846306, 2.410751"
"6,00","7,00",2022-06-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.826233, 2.34245"
"6,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.83912, 2.337229"
"5,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.82668, 2.3237355"
"6,00","7,00",2021-10-22,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.83126, 2.313088"
"6,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.85857, 2.2851212"
"6,00","3,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.867313, 2.280347"
"6,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.887695, 2.3050365"
"6,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.884953, 2.3035011"
"5,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.884953, 2.3035011"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.878845, 2.2878556"
"5,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.88508, 2.3375535"
"6,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.891644, 2.344978"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.87683, 2.2928"
"5,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75104,"48.886097, 2.3936"
"6,00","7,00",2021-12-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.87233, 2.39951"
"6,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.85844, 2.402911"
"6,00","7,00",2021-12-08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.867603, 2.4021437"
"6,00","7,00",2021-12-08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.873646, 2.3911798"
"6,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75109,"48.856796, 2.3538697"
"6,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75112,"48.856796, 2.3538697"
"7,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75112,"48.856796, 2.3538697"
"7,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75112,"48.86003, 2.34046"
"4,00","22,00",2021-04-14,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75112,"48.84824, 2.339865"
"6,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75113,"48.852665, 2.31368"
"6,00","22,00",2021-04-23,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75114,"48.860657, 2.311441"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.875854, 2.309542"
"7,00","22,00",2022-01-10,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75114,"48.878098, 2.3696816"
"7,00","22,00",2021-06-01,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75116,"48.847446, 2.38804"
"7,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.843754, 2.320272"
"4,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.846653, 2.258213"
"7,00","22,00",2021-05-05,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75117,"48.88569, 2.297463"
"7,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75117,"48.89061, 2.35423"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.88842, 2.388149"
"6,00","7,00",2021-04-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.845284, 2.2640333"
"6,00","7,00",2021-05-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.864292, 2.3314855"
"6,00","7,00",2021-05-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.86334, 2.3526978"
"6,00","7,00",2021-11-25,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.855366, 2.3591938"
"5,00","7,00",2021-06-04,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84196, 2.347262"
"6,00","7,00",2021-05-28,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84737, 2.3182092"
"4,00","7,00",2022-10-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84737, 2.3182092"
"3,00","7,00",2021-06-30,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84828, 2.315725"
"3,00","3,00",2021-06-30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75101,"48.880447, 2.3283632"
"3,00","3,00",2021-06-30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.880447, 2.3283632"
"3,00","7,00",2021-07-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.87559, 2.399738"
"3,00","7,00",2022-01-27,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.86536, 2.405207"
"3,00","7,00",2022-01-27,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.86536, 2.405207"
"3,00","7,00",2021-06-10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.86023, 2.3719914"
"3,00","7,00",2021-06-18,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.84733, 2.3856323"
"3,00","7,00",2021-07-07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87237, 2.366288"
"3,00","7,00",2021-06-24,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.83984, 2.273328"
"3,00","7,00",2021-06-24,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.83984, 2.273328"
"3,00","7,00",2021-07-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.83892, 2.282485"
"3,00","7,00",2021-11-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75119,"48.85666, 2.2856026"
"6,00","7,00",2021-11-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.85666, 2.2856026"
"4,00","7,00",2021-07-13,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75101,"48.831997, 2.3048475"
"4,00","7,00",2021-07-09,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75103,"48.848923, 2.3045475"
"5,00","7,00",2021-07-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75104,"48.897976, 2.323452"
"6,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75105,"48.89905, 2.3649826"
"4,00","7,00",2021-07-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.86143, 2.4056437"
"4,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75106,"48.86486, 2.3329713"
"7,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.870564, 2.3408933"
"7,00","7,00",2021-08-27,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75109,"48.869926, 2.3320835"
"7,00","3,00",2022-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75109,"48.86781, 2.34525"
"7,00","3,00",2022-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.86781, 2.34525"
"6,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.86818, 2.335097"
"6,00","7,00",2021-08-11,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.84443, 2.3522773"
"6,00","7,00",2021-08-11,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75111,"48.84443, 2.3522773"
"5,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.8542, 2.345341"
"7,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.847107, 2.332121"
"5,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87119, 2.364206"
"5,00","7,00",2021-08-17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.881493, 2.362957"
"4,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87179, 2.372482"
"6,00","7,00",2021-08-25,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.845577, 2.3953738"
"6,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.82958, 2.3537664"
"6,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.834854, 2.3297832"
"6,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.83951, 2.3301675"
"6,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.83951, 2.3301675"
"6,00","7,00",2021-08-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.83951, 2.3301675"
